,department1,year,term,enrollment,name_key1,course_title
0,AESTHINT,2011,fall,59.0,AESTHINT 13,Cultural Agents
1,AESTHINT,2011,fall,48.0,AESTHINT 15,Elements of Rhetoric
2,AESTHINT,2011,fall,111.0,AESTHINT 24,First Nights: Five Performance Premieres
3,AESTHINT,2011,fall,99.0,AESTHINT 26,"Race, Gender, and Performance"
4,AESTHINT,2011,fall,29.0,AESTHINT 30,Love In A Dead Language: Classical Indian Literature and Its Theorists
5,AESTHINT,2011,fall,81.0,AESTHINT 33,Ancient Fictions: The Ancient Novel in Context
6,AESTHINT,2011,fall,9.0,AESTHINT 35,Forms in Korean Cultural History
7,AESTHINT,2011,fall,182.0,AESTHINT 37,Introduction to the Bible in the Humanities and the Arts
8,AESTHINT,2011,fall,16.0,AESTHINT 38,The English Language as Literature
9,AESTHINT,2011,fall,12.0,AESTHINT 40,Monuments of Islamic Architecture
10,AESTHINT,2011,fall,12.0,AESTHINT 49,"The Medieval Imagination: Visions, Dreams, and Prophecies"
11,AFRAMER,2011,fall,6.0,AFRAMER 103,From Plantations to Prisons: An Overview of the U.S. Punishment System
12,AFRAMER,2011,fall,5.0,AFRAMER 109,Using Film for Social Change
13,AFRAMER,2011,fall,58.0,AFRAMER 10,Introduction to African American Studies
14,AFRAMER,2011,fall,26.0,AFRAMER 115,HBO's The Wire and its Contribution to Understanding Urban Inequality
15,AFRAMER,2011,fall,88.0,AFRAMER 117X,"Of Mean Streets and Jungle Fevers: Race, Gender and Ethnicity in Martin Scorsese and Spike Lee"
16,AFRAMER,2011,fall,21.0,AFRAMER 131,African American Literature from the Beginnings to the Harlem Renaissance
17,AFRAMER,2011,fall,7.0,AFRAMER 137,"Literature and Its Cultural `Others' - America, Africa and the Caribbean, 1950s-80s"
18,AFRAMER,2011,fall,8.0,AFRAMER 138,"The Child Left Behind: Language, Race, and Education"
19,AFRAMER,2011,fall,10.0,AFRAMER 178,"Health, Society, and Subjectivity in the American Context"
20,AFRAMER,2011,fall,112.0,AFRAMER 182,From R & B to Neo Soul: Black Popular Music and Cultural Transformation
21,AFRAMER,2011,fall,6.0,AFRAMER 187,African Religions
22,AFRAMER,2011,fall,36.0,AFRAMER 20,Introduction to African Languages and Cultures
23,AFRAMER,2011,fall,6.0,AFRAMER 301,Graduate Proseminar
24,AFRAMER,2011,fall,5.0,AFRAMER 90R.A,Amharic
25,AFRAMER,2011,fall,1.0,AFRAMER 90R.B,Bamanakan
26,AFRAMER,2011,fall,2.0,AFRAMER 90R.D,Chichewa
27,AFRAMER,2011,fall,12.0,AFRAMER 90R.G,Haitian Creole
28,AFRAMER,2011,fall,1.0,AFRAMER 90R.H,Hausa
29,AFRAMER,2011,fall,12.0,AFRAMER 90R.I,Igbo
30,AFRAMER,2011,fall,4.0,AFRAMER 90R.J,Kinyarwanda
31,AFRAMER,2011,fall,3.0,AFRAMER 90R.O,Wolof
32,AFRAMER,2011,fall,3.0,AFRAMER 90R.Q,Zulu
33,AFRAMER,2011,fall,4.0,AFRAMER 90R.S,Krio
34,AFRAMER,2011,fall,9.0,AFRAMER 90R,African Language Tutorials
37,ANTHRO,2011,fall,113.0,ANTHRO 1010,The Fundamentals of Archaeological Methods & Reasoning
38,ANTHRO,2011,fall,21.0,ANTHRO 1086,"Alternative Archaeology: Archaeological Hoaxes, Frauds and Mysteries"
39,ANTHRO,2011,fall,21.0,ANTHRO 1130,Archaeology of Harvard Yard
40,ANTHRO,2011,fall,6.0,ANTHRO 1158,"Maya Narratives: Gods, Lords, and Courts"
41,ANTHRO,2011,fall,8.0,ANTHRO 1168,Introduction to Classic Maya Writing and Art
42,ANTHRO,2011,fall,13.0,ANTHRO 1640,Language and Culture
43,ANTHRO,2011,fall,10.0,ANTHRO 1665,Humans and Animals: Seminar
44,ANTHRO,2011,fall,8.0,ANTHRO 1667,"Africa, Modernity and Ethnography: Seminar"
45,ANTHRO,2011,fall,31.0,ANTHRO 1758,Globalization and Popular Culture
46,ANTHRO,2011,fall,14.0,ANTHRO 1828,Medical Ethics in a Global World
47,ANTHRO,2011,fall,10.0,ANTHRO 1845,Mediterranean Becoming: Historical Anthropology of North Africa and Southern Europe
48,ANTHRO,2011,fall,29.0,ANTHRO 1850,Ethnography as Practice and Genre
49,ANTHRO,2011,fall,53.0,ANTHRO 1995,"Food, Culture, and Society"
50,ANTHRO,2011,fall,8.0,ANTHRO 2070A,Archaeological Method and Theory: Seminar
51,ANTHRO,2011,fall,9.0,ANTHRO 2250B,Proseminar in Archaeology
52,ANTHRO,2011,fall,12.0,ANTHRO 2650A,History and Theory of Social Anthropology: Proseminar
53,ANTHRO,2011,fall,9.0,ANTHRO 2660,The Anthropology of Knowledge: Seminar
54,ANTHRO,2011,fall,8.0,ANTHRO 2706,"Disease, Disability, and the Body"
55,ANTHRO,2011,fall,5.0,ANTHRO 2816,"Law for Anthropologists, Anthropology for Lawyers"
56,ANTHRO,2011,fall,9.0,ANTHRO 2830,Creative Ethnography
57,ANTHRO,2011,fall,12.0,ANTHRO 2856,"Biography, the Novel, Psychotherapy & Ethnography: Deep Ways of Knowing the Person in Moral Context"
58,ANTHRO,2011,fall,8.0,ANTHRO 98XA,Junior Tutorial in Archaeology
59,ANTHRO,2011,fall,24.0,ANTHRO 98Z,Junior Tutorial in Social Anthropology
60,APMTH,2011,fall,57.0,APMTH 101,Statistical Inference for Scientists and Engineers
61,APMTH,2011,fall,20.0,APMTH 104,Complex and Fourier Analysis
62,APMTH,2011,fall,23.0,APMTH 120,Applicable Linear Algebra
63,APMTH,2011,fall,29.0,APMTH 147,Nonlinear Dynamical Systems
64,APMTH,2011,fall,33.0,APMTH 201,Physical Mathematics I
65,APMTH,2011,fall,25.0,APMTH 205,Advanced Scientific Computing: Numerical Methods
66,APMTH,2011,fall,177.0,APMTH 21A,Mathematical Methods in the Sciences
67,APMTH,2011,fall,11.0,APMTH 221,Advanced Optimization
114,CHEM,2011,fall,6.0,CHEM 100,Experimental Chemistry and Chemical Biology
115,CHEM,2011,fall,41.0,CHEM 101,Organic Synthesis Towards a Genomic Medicine
116,CHEM,2011,fall,16.0,CHEM 106,Advanced Organic Chemistry
117,CHEM,2011,fall,14.0,CHEM 115,Advanced Organic Chemistry: Synthesis of Complex Molecules
118,CHEM,2011,fall,23.0,CHEM 153,Organotransition Metal Chemistry
119,CHEM,2011,fall,43.0,CHEM 160,Physical Chemistry
120,CHEM,2011,fall,7.0,CHEM 163,Frontiers in Biophysics
121,CHEM,2011,fall,44.0,CHEM 170,Chemical Biology
122,CHEM,2011,fall,202.0,CHEM 17,Principles of Organic Chemistry
123,CHEM,2011,fall,42.0,CHEM 301HF,Scientific Teaching and Communications: Practicum
124,CHEM,2011,fall,83.0,CHEM 30,Organic Chemistry
125,CHEM,2011,fall,10.0,CHEM 60,Foundations of Physical Chemistry
160,COMPSCI,2011,fall,35.0,COMPSCI 105,Privacy and Technology
161,COMPSCI,2011,fall,72.0,COMPSCI 121,Introduction to Formal Systems and Computation
162,COMPSCI,2011,fall,31.0,COMPSCI 141,Computing Hardware
163,COMPSCI,2011,fall,25.0,COMPSCI 153,Compilers
164,COMPSCI,2011,fall,30.0,COMPSCI 175,Computer Graphics
165,COMPSCI,2011,fall,15.0,COMPSCI 182,"Intelligent Machines: Reasoning, Actions, and Plans"
166,COMPSCI,2011,fall,10.0,COMPSCI 186,Economics and Computation
167,COMPSCI,2011,fall,5.0,COMPSCI 203HF,A Better Internet: Policy and Practice
168,COMPSCI,2011,fall,45.0,COMPSCI 205,Computing Foundations for Computational Science
169,COMPSCI,2011,fall,42.0,COMPSCI 220R,Cryptography: Trust and Adversity
170,COMPSCI,2011,fall,20.0,COMPSCI 223,Probabilistic Analysis and Algorithms
171,COMPSCI,2011,fall,12.0,COMPSCI 252R,Advanced Topics in Programming Languages
172,COMPSCI,2011,fall,16.0,COMPSCI 261,Research Topics in Operating Systems
173,COMPSCI,2011,fall,36.0,COMPSCI 281,Advanced Machine Learning
174,COMPSCI,2011,fall,14.0,COMPSCI 286R,Topics at the Interface between Computer Science and Economics
175,COMPSCI,2011,fall,4.0,COMPSCI 325,Intelligent Interactive Systems and Human-Computer
176,COMPSCI,2011,fall,604.0,COMPSCI 50,Introduction to Computer Science I
177,COMPSCI,2011,fall,109.0,COMPSCI 61,Systems Programming and Machine Organization
178,CULTBLF,2011,fall,42.0,CULTBLF 11,Medicine and the Body in East Asia and in Europe
179,CULTBLF,2011,fall,23.0,CULTBLF 14,Human Being and the Sacred in the History of the West
180,CULTBLF,2011,fall,35.0,CULTBLF 16,"Performance, Tradition and Cultural Studies: An Introduction to Folklore and Mythology"
181,CULTBLF,2011,fall,217.0,CULTBLF 22,Concepts of the Hero in Classical Greek Civilization
182,CULTBLF,2011,fall,75.0,CULTBLF 23,"From the Hebrew Bible to Judaism, From the Old Testament to Christianity"
183,CULTBLF,2011,fall,53.0,CULTBLF 28,Hindu Worlds of Art and Culture
184,CULTBLF,2011,fall,108.0,CULTBLF 30,Seeing is Believing: A History of Photography
185,CULTBLF,2011,fall,125.0,CULTBLF 33,Introduction to the Study of East Asian Religions
186,CULTBLF,2011,fall,308.0,CULTBLF 34,Madness and Medicine: Themes in the History of Psychiatry
187,CULTBLF,2011,fall,119.0,CULTBLF 37,The Romance: From Jane Austen to Chick Lit
188,CULTBLF,2011,fall,65.0,CULTBLF 47,The Darwinian Revolution
189,CULTBLF,2011,fall,59.0,CULTBLF 49,American Protest Literature from Tom Paine to Tupac
190,CULTBLF,2011,fall,112.0,CULTBLF 50,"The European Postwar: Literature, Film, Politics"
212,ECON,2011,fall,347.0,ECON 1010A,Microeconomic Theory
213,ECON,2011,fall,78.0,ECON 1011A,Microeconomic Theory
214,ECON,2011,fall,68.0,ECON 1018,Cultural Economics
215,ECON,2011,fall,16.0,ECON 1056,Market Design
216,ECON,2011,fall,722.0,ECON 10,Principles of Economics
217,ECON,2011,fall,213.0,ECON 1123,Introduction to Econometrics
218,ECON,2011,fall,29.0,ECON 1356,Economics of Work and Family
219,ECON,2011,fall,72.0,ECON 1432,Economics of European Integrations
220,ECON,2011,fall,5.0,ECON 1450R,Religion and Political Economy
221,ECON,2011,fall,29.0,ECON 1490,Growth and Crisis in the World Economy
222,ECON,2011,fall,39.0,ECON 1530,International Monetary Economics
223,ECON,2011,fall,17.0,ECON 1545,International Financial and Macroeconomic Policy
224,ECON,2011,fall,34.0,ECON 1635,Technology Innovation and Economic Growth
225,ECON,2011,fall,109.0,ECON 1723,Capital Markets
226,ECON,2011,fall,65.0,ECON 1776,Religion and the Rise of Capitalism
227,ECON,2011,fall,17.0,ECON 1936,Keynes's General Theory
228,ECON,2011,fall,38.0,ECON 2010A,Economic Theory
229,ECON,2011,fall,45.0,ECON 2010D,Economic Theory
230,ECON,2011,fall,24.0,ECON 2020A,Microeconomic Theory I
231,ECON,2011,fall,23.0,ECON 2030,Psychology and Economics
232,ECON,2011,fall,4.0,ECON 2051R,Mathematical Methods in Economic Theory
233,ECON,2011,fall,17.0,ECON 2056A,Market Design
234,ECON,2011,fall,31.0,ECON 2060,Contract Theory
235,ECON,2011,fall,10.0,ECON 2080,Economics and Politics: The Foundations of Economics in Political Theory
236,ECON,2011,fall,24.0,ECON 2110,Introductory Probability and Statistics for Economists
237,ECON,2011,fall,9.0,ECON 2142,Time Series Analysis
238,ECON,2011,fall,6.0,ECON 2149,Computational Economics
239,ECON,2011,fall,5.0,ECON 2162,Research in Econometrics
240,ECON,2011,fall,8.0,ECON 2325,Comparative Historical Economic Development
241,ECON,2011,fall,15.0,ECON 2390B,Development Economics I: Microeconomic Issues
242,ECON,2011,fall,20.0,ECON 2412A,Political Economics
243,ECON,2011,fall,7.0,ECON 2420HF,Research in Macroeconomics
244,ECON,2011,fall,12.0,ECON 2450A,Public Economics and Fiscal Policy I
245,ECON,2011,fall,9.0,ECON 2455R,Imperfect Knowledge in Macroeconomics
246,ECON,2011,fall,12.0,ECON 2480,Research in Public Economics and Fiscal Policy: Research Seminar
247,ECON,2011,fall,9.0,ECON 2530A,International Trade
248,ECON,2011,fall,8.0,ECON 2540HF,Research in International Economics
249,ECON,2011,fall,21.0,ECON 2610,Industrial Organization I
250,ECON,2011,fall,18.0,ECON 2723,Asset Pricing I
251,ECON,2011,fall,10.0,ECON 2770HF,Research in Financial Economics
252,ECON,2011,fall,33.0,ECON 2810A,Labor Market Analysis
253,ECON,2011,fall,11.0,ECON 2812HF,Research in Labor Economics
254,ECON,2011,fall,5.0,ECON 3810CHFR,The Labor Economics Workshop
255,ECON,2011,fall,16.0,ECON 980D,The Rise of Asia and World Economy
256,ECON,2011,fall,11.0,ECON 980V,Household Finance
257,ECON,2011,fall,10.0,ECON 985A,Research in Microeconomics
258,ECON,2011,fall,6.0,ECON 985C,Research in Labor Economics
259,ECON,2011,fall,5.0,ECON 985D,Research in Economic Development
260,ECON,2011,fall,10.0,ECON 985E,Research in Macroeconomics
261,ECON,2011,fall,9.0,ECON 985F,Research in International Trade and Finance
262,ECON,2011,fall,9.0,ECON 985H,Research in Financial Markets
263,ECON,2011,fall,11.0,ECON 985K,Research in Public Economics
269,ENG-SCI,2011,fall,41.0,ENG-SCI 115,Mathematical Modeling
270,ENG-SCI,2011,fall,23.0,ENG-SCI 125,Mechanical Systems
271,ENG-SCI,2011,fall,2.0,ENG-SCI 135,Physics and Chemistry: In the Context of Energy and Climate at the Global and Molecular Level
272,ENG-SCI,2011,fall,53.0,ENG-SCI 139,Innovation in Science and Engineering: Conference Course
273,ENG-SCI,2011,fall,24.0,ENG-SCI 145,Physiological Systems Analysis
274,ENG-SCI,2011,fall,23.0,ENG-SCI 153,Laboratory Electronics
275,ENG-SCI,2011,fall,25.0,ENG-SCI 154,Electronic Devices and Circuits
276,ENG-SCI,2011,fall,21.0,ENG-SCI 164,Soil and Environmental Chemistry
277,ENG-SCI,2011,fall,13.0,ENG-SCI 165,Water Engineering
278,ENG-SCI,2011,fall,32.0,ENG-SCI 181,Engineering Thermodynamics
279,ENG-SCI,2011,fall,65.0,ENG-SCI 190,Introduction to Materials Science and Engineering
280,ENG-SCI,2011,fall,7.0,ENG-SCI 207,Communicating Science
281,ENG-SCI,2011,fall,8.0,ENG-SCI 212,Quantitative Cell Biology: Self-Organization and Cellular Architecture
282,ENG-SCI,2011,fall,23.0,ENG-SCI 21,"The Innovator's Practice: Finding, Building and Leading Good Ideas with Others"
283,ENG-SCI,2011,fall,16.0,ENG-SCI 220,Fluid Dynamics
284,ENG-SCI,2011,fall,7.0,ENG-SCI 222,Advanced Cellular Engineering
285,ENG-SCI,2011,fall,5.0,ENG-SCI 233,Health Care Computer-Assisted Innovations
286,ENG-SCI,2011,fall,5.0,ENG-SCI 239,Advanced Innovation in Science and Engineering: Conference Course
