Course,term,year,department,Enrollment,Workload,Overall
AESTHINT 13: Cultural Agents,fall,2011,AESTHINT,59,1.5,3.7
AESTHINT 15: Elements of Rhetoric,fall,2011,AESTHINT,48,2.3,4.2
AESTHINT 24: First Nights: Five Performance Premieres,fall,2011,AESTHINT,111,1.5,3.9
"AESTHINT 26: Race, Gender, and Performance",fall,2011,AESTHINT,99,1.6,3.8
AESTHINT 30: Love In A Dead Language: Classical Indian Literature and Its Theorists,fall,2011,AESTHINT,29,2.0,4.3
AESTHINT 33: Ancient Fictions: The Ancient Novel in Context,fall,2011,AESTHINT,81,1.7,4.1
AESTHINT 35: Forms in Korean Cultural History,fall,2011,AESTHINT,9,1.6,3.9
AESTHINT 37: Introduction to the Bible in the Humanities and the Arts,fall,2011,AESTHINT,182,1.8,3.1
AESTHINT 38: The English Language as Literature,fall,2011,AESTHINT,16,1.6,4.1
AESTHINT 40: Monuments of Islamic Architecture,fall,2011,AESTHINT,12,1.8,3.8
"AESTHINT 49: The Medieval Imagination: Visions, Dreams, and Prophecies",fall,2011,AESTHINT,12,1.8,4.2
AFRAMER 103: From Plantations to Prisons: An Overview of the U.S. Punishment System,fall,2011,AFRAMER,6,2.4,4.2
AFRAMER 109: Using Film for Social Change,fall,2011,AFRAMER,5,3.5,4.0
AFRAMER 10: Introduction to African American Studies,fall,2011,AFRAMER,58,1.7,3.8
AFRAMER 115: HBO's The Wire and its Contribution to Understanding Urban Inequality,fall,2011,AFRAMER,26,3.2,4.8
"AFRAMER 117X: Of Mean Streets and Jungle Fevers: Race, Gender and Ethnicity in Martin Scorsese and Spike Lee",fall,2011,AFRAMER,88,1.4,3.2
AFRAMER 131: African American Literature from the Beginnings to the Harlem Renaissance,fall,2011,AFRAMER,21,2.4,3.7
"AFRAMER 137: Literature and Its Cultural `Others' - America, Africa and the Caribbean, 1950s-80s",fall,2011,AFRAMER,7,2.3,4.5
"AFRAMER 138: The Child Left Behind: Language, Race, and Education",fall,2011,AFRAMER,8,2.2,3.8
"AFRAMER 178: Health, Society, and Subjectivity in the American Context",fall,2011,AFRAMER,10,2.3,4.6
AFRAMER 182: From R & B to Neo Soul: Black Popular Music and Cultural Transformation,fall,2011,AFRAMER,112,1.4,4.0
AFRAMER 187: African Religions,fall,2011,AFRAMER,6,1.6,4.4
AFRAMER 20: Introduction to African Languages and Cultures,fall,2011,AFRAMER,36,1.8,3.6
AFRAMER 301: Graduate Proseminar,fall,2011,AFRAMER,6,3.5,4.0
AFRAMER 90R.A: Amharic,fall,2011,AFRAMER,5,1.5,3.0
AFRAMER 90R.B: Bamanakan,fall,2011,AFRAMER,1,2.0,4.0
AFRAMER 90R.D: Chichewa,fall,2011,AFRAMER,2,1.0,5.0
AFRAMER 90R.G: Haitian Creole,fall,2011,AFRAMER,12,1.5,4.2
AFRAMER 90R.H: Hausa,fall,2011,AFRAMER,1,1.0,5.0
AFRAMER 90R.I: Igbo,fall,2011,AFRAMER,12,1.6,4.4
AFRAMER 90R.J: Kinyarwanda,fall,2011,AFRAMER,4,2.2,4.0
AFRAMER 90R.O: Wolof,fall,2011,AFRAMER,3,1.3,4.0
AFRAMER 90R.Q: Zulu,fall,2011,AFRAMER,3,2.5,3.5
AFRAMER 90R.S: Krio,fall,2011,AFRAMER,4,2.0,4.3
AFRAMER 90R: African Language Tutorials,fall,2011,AFRAMER,9,1.6,4.1
AM-CIV 201: Themes in the History of American Civilization,fall,2011,AM-CIV,12,3.6,4.6
ANE 104: Babylon,fall,2011,ANE,254,1.4,4.1
ANTHRO 1010: The Fundamentals of Archaeological Methods & Reasoning,fall,2011,ANTHRO,113,1.6,3.6
"ANTHRO 1086: Alternative Archaeology: Archaeological Hoaxes, Frauds and Mysteries",fall,2011,ANTHRO,21,1.8,4.3
ANTHRO 1130: Archaeology of Harvard Yard,fall,2011,ANTHRO,21,1.3,4.4
"ANTHRO 1158: Maya Narratives: Gods, Lords, and Courts",fall,2011,ANTHRO,6,2.3,4.3
ANTHRO 1168: Introduction to Classic Maya Writing and Art,fall,2011,ANTHRO,8,1.7,4.7
ANTHRO 1640: Language and Culture,fall,2011,ANTHRO,13,2.4,3.8
ANTHRO 1665: Humans and Animals: Seminar,fall,2011,ANTHRO,10,1.9,5.0
"ANTHRO 1667: Africa, Modernity and Ethnography: Seminar",fall,2011,ANTHRO,8,2.0,4.3
ANTHRO 1758: Globalization and Popular Culture,fall,2011,ANTHRO,31,1.8,3.3
ANTHRO 1828: Medical Ethics in a Global World,fall,2011,ANTHRO,14,2.7,4.3
ANTHRO 1845: Mediterranean Becoming: Historical Anthropology of North Africa and Southern Europe,fall,2011,ANTHRO,10,2.1,4.4
ANTHRO 1850: Ethnography as Practice and Genre,fall,2011,ANTHRO,29,2.3,3.6
"ANTHRO 1995: Food, Culture, and Society",fall,2011,ANTHRO,53,1.7,3.0
ANTHRO 2070A: Archaeological Method and Theory: Seminar,fall,2011,ANTHRO,8,3.9,4.4
ANTHRO 2250B: Proseminar in Archaeology,fall,2011,ANTHRO,9,2.8,2.7
ANTHRO 2650A: History and Theory of Social Anthropology: Proseminar,fall,2011,ANTHRO,12,3.4,4.8
ANTHRO 2660: The Anthropology of Knowledge: Seminar,fall,2011,ANTHRO,9,2.9,4.7
"ANTHRO 2706: Disease, Disability, and the Body",fall,2011,ANTHRO,8,2.6,4.1
"ANTHRO 2816: Law for Anthropologists, Anthropology for Lawyers",fall,2011,ANTHRO,5,2.0,5.0
ANTHRO 2830: Creative Ethnography,fall,2011,ANTHRO,9,2.0,4.6
"ANTHRO 2856: Biography, the Novel, Psychotherapy & Ethnography: Deep Ways of Knowing the Person in Moral Context",fall,2011,ANTHRO,12,2.6,4.4
ANTHRO 98XA: Junior Tutorial in Archaeology,fall,2011,ANTHRO,8,2.0,3.9
ANTHRO 98Z: Junior Tutorial in Social Anthropology,fall,2011,ANTHRO,24,2.5,4.4
APMTH 101: Statistical Inference for Scientists and Engineers,fall,2011,APMTH,57,2.5,3.1
APMTH 104: Complex and Fourier Analysis,fall,2011,APMTH,20,2.9,3.5
APMTH 120: Applicable Linear Algebra,fall,2011,APMTH,23,2.7,4.5
APMTH 147: Nonlinear Dynamical Systems,fall,2011,APMTH,29,2.4,4.2
APMTH 201: Physical Mathematics I,fall,2011,APMTH,33,3.3,3.6
APMTH 205: Advanced Scientific Computing: Numerical Methods,fall,2011,APMTH,25,3.0,4.5
APMTH 21A: Mathematical Methods in the Sciences,fall,2011,APMTH,177,2.1,3.6
APMTH 221: Advanced Optimization,fall,2011,APMTH,11,2.3,4.0
APPHY 217: Applications of Modern Optics,fall,2011,APPHY,16,3.4,4.2
APPHY 225: Introduction to Soft Matter,fall,2011,APPHY,17,2.4,3.6
APPHY 282: Solids: Structure and Defects,fall,2011,APPHY,10,4.2,4.1
APPHY 284: Statistical Thermodynamics,fall,2011,APPHY,61,3.4,4.4
ARABIC 130A: Upper-Level Classical Arabic I,fall,2011,ARABIC,11,2.3,4.0
ARABIC 131A: Upper-Level Modern Arabic l,fall,2011,ARABIC,37,3.2,4.6
ARABIC 133: Upper-Level Spoken Modern Standard Arabic,fall,2011,ARABIC,4,2.2,5.0
ARABIC 158: Modern Arabic Literature Seminar: Topic TBA,fall,2011,ARABIC,9,2.5,4.6
"ARABIC 241AR: Advanced Modern Arabic Bridge: Language, Literature, and Culture I",fall,2011,ARABIC,16,2.6,4.0
ARABIC 245R: Classical Arabic Literature: Seminar,fall,2011,ARABIC,8,2.9,4.4
ARABIC A: Elementary Arabic,fall,2011,ARABIC,79,3.1,4.3
ARABIC BA: Intermediate Arabic I,fall,2011,ARABIC,49,3.0,4.1
ASTRON 150: Radiative Processes in Astrophysics,fall,2011,ASTRON,18,3.2,4.5
ASTRON 17: Galactic and Extragalactic Astronomy,fall,2011,ASTRON,22,2.2,3.8
ASTRON 191: Astrophysics Laboratory,fall,2011,ASTRON,9,4.5,4.8
ASTRON 202A: Galaxies and Dynamics,fall,2011,ASTRON,27,2.5,4.4
ASTRON 218: Radio Astronomy,fall,2011,ASTRON,8,3.2,4.4
ASTRON 2: Celestial Navigation,fall,2011,ASTRON,13,2.9,4.6
ASTRON 300: Topics in Modern Astrophysics,fall,2011,ASTRON,50,4.3,4.9
ASTRON 301HF: Journal Club,fall,2011,ASTRON,34,1.0,4.1
ASTRON 99: Senior Thesis in Astrophysics,fall,2011,ASTRON,9,3.8,4.7
BBS 301: Teaching Practicum,fall,2011,BBS,14,3.0,4.7
BCMP 200: Molecular Biology,fall,2011,BCMP,70,1.9,3.2
BCMP 218: Molecular Medicine,fall,2011,BCMP,15,1.5,4.2
BCMP 230: Principles and Practice of Drug Development,fall,2011,BCMP,9,1.1,4.1
BCMP 235: Principles of Human Disease: Physiology and Pathology,fall,2011,BCMP,28,2.0,4.2
BCMP 301QC: Translational Pharmacology,fall,2011,BCMP,0,,
BCMP 302QC: Molecular Movies: Introduction to 3D Visualization with Maya,fall,2011,BCMP,7,1.3,3.7
BIOPHYS 242R: Special Topics in Biophysics,fall,2011,BIOPHYS,14,1.3,2.8
BIOSTAT 230: Probability Theory and Applications I,fall,2011,BIOSTAT,10,3.0,4.0
BIOSTAT 232: Methods I,fall,2011,BIOSTAT,10,3.4,4.7
BIOSTAT 235: Regression and Analysis of Variance,fall,2011,BIOSTAT,11,3.0,4.5
BIOSTAT 249: Bayesian Methodology in Biostatistics,fall,2011,BIOSTAT,13,2.8,4.1
BIOSTAT 250: Probability Theory and Applications II,fall,2011,BIOSTAT,8,3.2,3.8
BIOSTAT 299: Advanced Computational Biology and Bioinformatics,fall,2011,BIOSTAT,6,3.2,2.8
BPH 301: Biological Sciences Seminars,fall,2011,BPH,10,2.0,4.1
BPH 304QC: Ecological and Epidemiological Control of Parasitic Diseases,fall,2011,BPH,7,1.7,4.7
