,department1,year,term,enrollment,name_key1,course_title,Course_Workload_Rating,Course_Overall_Rating
0,AESTHINT,2011,fall,59.0,AESTHINT 13,Cultural Agents,1.5,3.7
1,AESTHINT,2011,fall,48.0,AESTHINT 15,Elements of Rhetoric,2.3,4.2
2,AESTHINT,2011,fall,111.0,AESTHINT 24,First Nights: Five Performance Premieres,1.5,3.9
3,AESTHINT,2011,fall,99.0,AESTHINT 26,"Race, Gender, and Performance",1.6,3.8
4,AESTHINT,2011,fall,29.0,AESTHINT 30,Love In A Dead Language: Classical Indian Literature and Its Theorists,2.0,4.3
5,AESTHINT,2011,fall,81.0,AESTHINT 33,Ancient Fictions: The Ancient Novel in Context,1.7,4.1
6,AESTHINT,2011,fall,9.0,AESTHINT 35,Forms in Korean Cultural History,1.6,3.9
7,AESTHINT,2011,fall,182.0,AESTHINT 37,Introduction to the Bible in the Humanities and the Arts,1.8,3.1
8,AESTHINT,2011,fall,16.0,AESTHINT 38,The English Language as Literature,1.6,4.1
9,AESTHINT,2011,fall,12.0,AESTHINT 40,Monuments of Islamic Architecture,1.8,3.8
10,AESTHINT,2011,fall,12.0,AESTHINT 49,"The Medieval Imagination: Visions, Dreams, and Prophecies",1.8,4.2
11,AFRAMER,2011,fall,6.0,AFRAMER 103,From Plantations to Prisons: An Overview of the U.S. Punishment System,2.4,4.2
12,AFRAMER,2011,fall,5.0,AFRAMER 109,Using Film for Social Change,3.5,4.0
13,AFRAMER,2011,fall,58.0,AFRAMER 10,Introduction to African American Studies,1.7,3.8
14,AFRAMER,2011,fall,26.0,AFRAMER 115,HBO's The Wire and its Contribution to Understanding Urban Inequality,3.2,4.8
15,AFRAMER,2011,fall,88.0,AFRAMER 117X,"Of Mean Streets and Jungle Fevers: Race, Gender and Ethnicity in Martin Scorsese and Spike Lee",1.4,3.2
16,AFRAMER,2011,fall,21.0,AFRAMER 131,African American Literature from the Beginnings to the Harlem Renaissance,2.4,3.7
17,AFRAMER,2011,fall,7.0,AFRAMER 137,"Literature and Its Cultural `Others' - America, Africa and the Caribbean, 1950s-80s",2.3,4.5
18,AFRAMER,2011,fall,8.0,AFRAMER 138,"The Child Left Behind: Language, Race, and Education",2.2,3.8
19,AFRAMER,2011,fall,10.0,AFRAMER 178,"Health, Society, and Subjectivity in the American Context",2.3,4.6
20,AFRAMER,2011,fall,112.0,AFRAMER 182,From R & B to Neo Soul: Black Popular Music and Cultural Transformation,1.4,4.0
21,AFRAMER,2011,fall,6.0,AFRAMER 187,African Religions,1.6,4.4
22,AFRAMER,2011,fall,36.0,AFRAMER 20,Introduction to African Languages and Cultures,1.8,3.6
23,AFRAMER,2011,fall,6.0,AFRAMER 301,Graduate Proseminar,3.5,4.0
24,AFRAMER,2011,fall,5.0,AFRAMER 90R.A,Amharic,1.5,3.0
25,AFRAMER,2011,fall,1.0,AFRAMER 90R.B,Bamanakan,2.0,4.0
26,AFRAMER,2011,fall,2.0,AFRAMER 90R.D,Chichewa,1.0,5.0
27,AFRAMER,2011,fall,12.0,AFRAMER 90R.G,Haitian Creole,1.5,4.2
28,AFRAMER,2011,fall,1.0,AFRAMER 90R.H,Hausa,1.0,5.0
29,AFRAMER,2011,fall,12.0,AFRAMER 90R.I,Igbo,1.6,4.4
30,AFRAMER,2011,fall,4.0,AFRAMER 90R.J,Kinyarwanda,2.2,4.0
31,AFRAMER,2011,fall,3.0,AFRAMER 90R.O,Wolof,1.3,4.0
32,AFRAMER,2011,fall,3.0,AFRAMER 90R.Q,Zulu,2.5,3.5
33,AFRAMER,2011,fall,4.0,AFRAMER 90R.S,Krio,2.0,4.3
34,AFRAMER,2011,fall,9.0,AFRAMER 90R,African Language Tutorials,1.6,4.1
37,ANTHRO,2011,fall,113.0,ANTHRO 1010,The Fundamentals of Archaeological Methods & Reasoning,1.6,3.6
38,ANTHRO,2011,fall,21.0,ANTHRO 1086,"Alternative Archaeology: Archaeological Hoaxes, Frauds and Mysteries",1.8,4.3
39,ANTHRO,2011,fall,21.0,ANTHRO 1130,Archaeology of Harvard Yard,1.3,4.4
40,ANTHRO,2011,fall,6.0,ANTHRO 1158,"Maya Narratives: Gods, Lords, and Courts",2.3,4.3
41,ANTHRO,2011,fall,8.0,ANTHRO 1168,Introduction to Classic Maya Writing and Art,1.7,4.7
42,ANTHRO,2011,fall,13.0,ANTHRO 1640,Language and Culture,2.4,3.8
43,ANTHRO,2011,fall,10.0,ANTHRO 1665,Humans and Animals: Seminar,1.9,5.0
44,ANTHRO,2011,fall,8.0,ANTHRO 1667,"Africa, Modernity and Ethnography: Seminar",2.0,4.3
45,ANTHRO,2011,fall,31.0,ANTHRO 1758,Globalization and Popular Culture,1.8,3.3
46,ANTHRO,2011,fall,14.0,ANTHRO 1828,Medical Ethics in a Global World,2.7,4.3
47,ANTHRO,2011,fall,10.0,ANTHRO 1845,Mediterranean Becoming: Historical Anthropology of North Africa and Southern Europe,2.1,4.4
48,ANTHRO,2011,fall,29.0,ANTHRO 1850,Ethnography as Practice and Genre,2.3,3.6
49,ANTHRO,2011,fall,53.0,ANTHRO 1995,"Food, Culture, and Society",1.7,3.0
50,ANTHRO,2011,fall,8.0,ANTHRO 2070A,Archaeological Method and Theory: Seminar,3.9,4.4
51,ANTHRO,2011,fall,9.0,ANTHRO 2250B,Proseminar in Archaeology,2.8,2.7
52,ANTHRO,2011,fall,12.0,ANTHRO 2650A,History and Theory of Social Anthropology: Proseminar,3.4,4.8
53,ANTHRO,2011,fall,9.0,ANTHRO 2660,The Anthropology of Knowledge: Seminar,2.9,4.7
54,ANTHRO,2011,fall,8.0,ANTHRO 2706,"Disease, Disability, and the Body",2.6,4.1
55,ANTHRO,2011,fall,5.0,ANTHRO 2816,"Law for Anthropologists, Anthropology for Lawyers",2.0,5.0
56,ANTHRO,2011,fall,9.0,ANTHRO 2830,Creative Ethnography,2.0,4.6
57,ANTHRO,2011,fall,12.0,ANTHRO 2856,"Biography, the Novel, Psychotherapy & Ethnography: Deep Ways of Knowing the Person in Moral Context",2.6,4.4
58,ANTHRO,2011,fall,8.0,ANTHRO 98XA,Junior Tutorial in Archaeology,2.0,3.9
59,ANTHRO,2011,fall,24.0,ANTHRO 98Z,Junior Tutorial in Social Anthropology,2.5,4.4
60,APMTH,2011,fall,57.0,APMTH 101,Statistical Inference for Scientists and Engineers,2.5,3.1
61,APMTH,2011,fall,20.0,APMTH 104,Complex and Fourier Analysis,2.9,3.5
62,APMTH,2011,fall,23.0,APMTH 120,Applicable Linear Algebra,2.7,4.5
63,APMTH,2011,fall,29.0,APMTH 147,Nonlinear Dynamical Systems,2.4,4.2
64,APMTH,2011,fall,33.0,APMTH 201,Physical Mathematics I,3.3,3.6
65,APMTH,2011,fall,25.0,APMTH 205,Advanced Scientific Computing: Numerical Methods,3.0,4.5
66,APMTH,2011,fall,177.0,APMTH 21A,Mathematical Methods in the Sciences,2.1,3.6
67,APMTH,2011,fall,11.0,APMTH 221,Advanced Optimization,2.3,4.0
114,CHEM,2011,fall,6.0,CHEM 100,Experimental Chemistry and Chemical Biology,1.6,4.8
115,CHEM,2011,fall,41.0,CHEM 101,Organic Synthesis Towards a Genomic Medicine,2.0,4.0
116,CHEM,2011,fall,16.0,CHEM 106,Advanced Organic Chemistry,3.2,3.6
117,CHEM,2011,fall,14.0,CHEM 115,Advanced Organic Chemistry: Synthesis of Complex Molecules,4.4,3.2
118,CHEM,2011,fall,23.0,CHEM 153,Organotransition Metal Chemistry,3.0,4.1
119,CHEM,2011,fall,43.0,CHEM 160,Physical Chemistry,2.8,3.6
120,CHEM,2011,fall,7.0,CHEM 163,Frontiers in Biophysics,3.3,3.9
121,CHEM,2011,fall,44.0,CHEM 170,Chemical Biology,2.0,4.5
122,CHEM,2011,fall,202.0,CHEM 17,Principles of Organic Chemistry,2.9,3.7
123,CHEM,2011,fall,42.0,CHEM 301HF,Scientific Teaching and Communications: Practicum,1.0,3.5
124,CHEM,2011,fall,83.0,CHEM 30,Organic Chemistry,3.4,4.5
125,CHEM,2011,fall,10.0,CHEM 60,Foundations of Physical Chemistry,2.4,3.6
160,COMPSCI,2011,fall,35.0,COMPSCI 105,Privacy and Technology,2.1,4.3
161,COMPSCI,2011,fall,31.0,COMPSCI 141,Computing Hardware,3.5,3.6
162,COMPSCI,2011,fall,15.0,COMPSCI 182,"Intelligent Machines: Reasoning, Actions, and Plans",3.1,3.7
163,COMPSCI,2011,fall,10.0,COMPSCI 186,Economics and Computation,3.3,4.7
164,COMPSCI,2011,fall,25.0,COMPSCI 153,Compilers,3.3,4.5
165,COMPSCI,2011,fall,30.0,COMPSCI 175,Computer Graphics,3.5,3.7
166,COMPSCI,2011,fall,72.0,COMPSCI 121,Introduction to Formal Systems and Computation,3.4,3.5
167,COMPSCI,2011,fall,5.0,COMPSCI 203HF,A Better Internet: Policy and Practice,2.0,4.3
168,COMPSCI,2011,fall,45.0,COMPSCI 205,Computing Foundations for Computational Science,3.4,3.7
169,COMPSCI,2011,fall,42.0,COMPSCI 220R,Cryptography: Trust and Adversity,2.6,4.5
170,COMPSCI,2011,fall,20.0,COMPSCI 223,Probabilistic Analysis and Algorithms,3.3,4.3
171,COMPSCI,2011,fall,12.0,COMPSCI 252R,Advanced Topics in Programming Languages,2.0,4.2
172,COMPSCI,2011,fall,16.0,COMPSCI 261,Research Topics in Operating Systems,3.6,4.6
173,COMPSCI,2011,fall,36.0,COMPSCI 281,Advanced Machine Learning,3.5,4.4
174,COMPSCI,2011,fall,14.0,COMPSCI 286R,Topics at the Interface between Computer Science and Economics,2.2,4.8
175,COMPSCI,2011,fall,4.0,COMPSCI 325,Intelligent Interactive Systems and Human-Computer,4.5,3.0
176,COMPSCI,2011,fall,604.0,COMPSCI 50,Introduction to Computer Science I,4.1,4.3
177,COMPSCI,2011,fall,109.0,COMPSCI 61,Systems Programming and Machine Organization,2.7,4.2
178,CULTBLF,2011,fall,42.0,CULTBLF 11,Medicine and the Body in East Asia and in Europe,2.4,4.0
179,CULTBLF,2011,fall,23.0,CULTBLF 14,Human Being and the Sacred in the History of the West,1.9,3.3
180,CULTBLF,2011,fall,35.0,CULTBLF 16,"Performance, Tradition and Cultural Studies: An Introduction to Folklore and Mythology",1.9,3.7
181,CULTBLF,2011,fall,217.0,CULTBLF 22,Concepts of the Hero in Classical Greek Civilization,1.5,3.6
182,CULTBLF,2011,fall,75.0,CULTBLF 23,"From the Hebrew Bible to Judaism, From the Old Testament to Christianity",1.5,4.3
183,CULTBLF,2011,fall,53.0,CULTBLF 28,Hindu Worlds of Art and Culture,1.8,3.9
184,CULTBLF,2011,fall,108.0,CULTBLF 30,Seeing is Believing: A History of Photography,1.7,4.2
185,CULTBLF,2011,fall,125.0,CULTBLF 33,Introduction to the Study of East Asian Religions,1.7,4.1
186,CULTBLF,2011,fall,308.0,CULTBLF 34,Madness and Medicine: Themes in the History of Psychiatry,1.7,4.3
187,CULTBLF,2011,fall,119.0,CULTBLF 37,The Romance: From Jane Austen to Chick Lit,2.0,4.2
188,CULTBLF,2011,fall,65.0,CULTBLF 47,The Darwinian Revolution,1.6,3.8
189,CULTBLF,2011,fall,59.0,CULTBLF 49,American Protest Literature from Tom Paine to Tupac,2.3,4.1
190,CULTBLF,2011,fall,112.0,CULTBLF 50,"The European Postwar: Literature, Film, Politics",2.1,4.2
212,ECON,2011,fall,78.0,ECON 1011A,Microeconomic Theory,2.8,3.9
213,ECON,2011,fall,347.0,ECON 1010A,Microeconomic Theory,2.1,2.7
214,ECON,2011,fall,68.0,ECON 1018,Cultural Economics,1.7,3.4
215,ECON,2011,fall,16.0,ECON 1056,Market Design,2.0,4.6
216,ECON,2011,fall,72.0,ECON 1432,Economics of European Integrations,1.6,4.0
217,ECON,2011,fall,5.0,ECON 1450R,Religion and Political Economy,2.0,4.5
218,ECON,2011,fall,29.0,ECON 1490,Growth and Crisis in the World Economy,2.2,4.6
219,ECON,2011,fall,39.0,ECON 1530,International Monetary Economics,1.9,3.7
220,ECON,2011,fall,17.0,ECON 1545,International Financial and Macroeconomic Policy,2.4,4.9
221,ECON,2011,fall,34.0,ECON 1635,Technology Innovation and Economic Growth,1.6,3.9
222,ECON,2011,fall,213.0,ECON 1123,Introduction to Econometrics,2.5,3.3
223,ECON,2011,fall,722.0,ECON 10,Principles of Economics,2.4,3.3
